benchmark_id,C01,C02,C03,C04,C05,C06,C07,C08
B001,0,3,0,0,0,0,0,0
B002,0,5,0,0,0,0,0,0
B003,0,4,0,0,0,0,0,0
B004,0,5,0,0,0,0,0,0
B005,0,5,0,0,0,0,0,0
B006,0,0,3,2,0,0,0,0
B007,0,0,4,2,0,0,0,0
B008,0,0,4,2,0,0,0,0
B009,0,0,4,0,0,0,3,0
B010,2,2,4,0,0,0,3,0
B011,3,0,0,0,0,0,0,0
B012,5,0,0,0,0,0,0,0
B013,4,0,0,0,0,0,0,2
B014,4,3,2,2,0,0,2,3
B015,0,0,0,0,0,0,5,0
B016,0,2,0,0,0,0,5,0
B017,0,2,0,0,0,0,5,0
B018,0,0,3,0,0,0,5,0
B019,0,0,0,4,0,0,0,3
B020,0,0,0,5,2,0,0,0
B021,0,0,0,5,3,0,0,0
B022,0,2,0,2,4,0,0,0
B023,0,0,0,0,5,0,0,0
B024,0,0,0,0,4,0,0,0
B025,0,0,0,0,0,0,0,5
B026,2,0,0,0,0,0,0,5
B027,0,0,0,0,0,5,0,0
B028,0,0,0,0,0,5,0,0
